ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7976496	7.23e-70	2.17e-74	-24.348558	158.85913	-0.54254999	SERPINA3	serpin family A member 3
8045291	1.90e-64	1.14e-68	-22.806892	145.81715	-0.19372031	TUBA3D///TUBA3E///TUBA3C	tubulin alpha 3d///tubulin alpha 3e///tubulin alpha 3c
7992987	2.35e-64	2.12e-68	-22.734914	145.22303	-0.11197962	HMOX2	heme oxygenase 2
8160168	7.16e-63	8.60e-67	22.306459	141.24949	0.27671435	FREM1	FRAS1 related extracellular matrix 1
7982204	2.17e-62	3.27e-66	22.15263	140.19855	0.11524533	HMGN2	high mobility group nucleosomal binding domain 2
8000409	1.48e-61	2.66e-65	21.911295	138.11206	0.11709005	HMGN2	high mobility group nucleosomal binding domain 2
7989146	1.41e-57	2.97e-61	20.844862	128.53096	0.33490036	MNS1	meiosis specific nuclear structural 1
7914075	5.10e-57	1.23e-60	-20.683711	127.42373	-0.31932711	FCN3	ficolin 3
8123446	3.61e-54	9.77e-58	19.925897	120.76088	0.24721852	SMOC2	SPARC related modular calcium binding 2
8174119	2.38e-52	7.14e-56	19.440869	116.48791	0.16032822	ZMAT1	zinc finger matrin-type 1
7986092	1.56e-50	5.14e-54	-18.958912	112.25161	-0.12552401	FURIN	furin, paired basic amino acid cleaving enzyme
7923347	2.20e-50	7.94e-54	-18.909935	111.73072	-0.17364623	LAD1	ladinin 1
8063923	9.58e-50	3.74e-53	-18.735388	110.26891	-0.30139943	SLCO4A1	solute carrier organic anion transporter family member 4A1
8162404	1.61e-49	6.77e-53	18.668648	109.64534	0.23725635	ECM2	extracellular matrix protein 2
8156278	5.59e-49	2.52e-52	-18.520968	108.36775	-0.14149038	C9orf47///S1PR3	chromosome 9 open reading frame 47///sphingosine-1-phosphate receptor 3
8074991	8.41e-49	4.04e-52	-18.467703	107.91348	-0.17231594	GGT5	gamma-glutamyltransferase 5
7965403	2.12e-48	1.08e-51	18.357005	106.82842	0.18890011	LUM	lumican
8102532	1.51e-47	8.15e-51	18.130056	104.91047	0.23300057	PDE5A	phosphodiesterase 5A
8165277	2.32e-47	1.33e-50	-18.075457	104.39343	-0.23008134	LCN6	lipocalin 6
8162394	3.50e-46	2.11e-49	17.764804	101.69489	0.36872266	ASPN	asporin
7931977	1.87e-45	1.24e-48	17.566009	99.93769	0.1709945	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
8139087	1.87e-45	1.20e-48	17.569007	99.86412	0.52885676	SFRP4	secreted frizzled related protein 4
8126066	9.02e-45	6.23e-48	-17.38429	98.25981	-0.06364093	MTCH1	mitochondrial carrier 1
8169115	1.32e-44	9.52e-48	17.33663	97.84294	0.27738878	NRK	Nik related kinase
8037614	3.34e-44	2.50e-47	-17.227961	96.9341	-0.17164709	GPR4	G protein-coupled receptor 4
8057506	3.51e-44	2.74e-47	17.217962	96.83419	0.33340808	FRZB	frizzled-related protein
8146159	9.03e-44	7.60e-47	17.103284	95.84598	0.10786772	AP3M2	adaptor related protein complex 3 mu 2 subunit
8147516	9.03e-44	7.53e-47	17.104293	95.82935	0.22121938	MATN2	matrilin 2
7984813	1.49e-43	1.30e-46	17.043218	95.30585	0.19262872	ISLR	immunoglobulin superfamily containing leucine rich repeat
7920552	2.01e-43	1.81e-46	17.005809	94.96786	0.16858151	KCNN3	potassium calcium-activated channel subfamily N member 3
7980970	4.07e-43	3.79e-46	-16.922553	94.22368	-0.07910977	ITPK1	inositol-tetrakisphosphate 1-kinase
